label,type,reason,link,is_label,is_coupuled,source,social,hybrid,group
Practice gratitude,Stress,Practicing gratitude and appreciating the good aspects of life positively impacts your mental wellbeing.,https://www.takingcharge.csh.umn.edu/enhance-your-wellbeing/health/thoughts-emotions/increase-positivity,T,F,"Try practicing more gratitude, as it can improve mood and well-being. Add variety to your gratitude practice by expressing your thanks in different ways each day","Try practicing more gratitude, it is something your friends also like. Add variety to your gratitude practice by expressing your thanks in different ways each day","Try practicing more gratitude, as it can improve mood and well-being. Add variety to your gratitude practice by expressing your thanks in different ways each day and your friends also like it","You guys should try practicing more gratitude, as it can improve mood and well-being. Add variety to your gratitude practice by expressing your thanks in different ways each day and it seems like something you guys will like"
Spend time in nature,Stress,"Spending time outdoors boosts moods and reduces stress, pain, and anger.",https://www.takingcharge.csh.umn.edu/nature-us,T,F,"Try Spending more time in nature, as it has been linked to better having better moods, expanded thinking, and finding more meaning in life","Try Spending more time in nature, it is something your friends also like","Try Spending more time in nature, as it has been linked to better having better moods, expanded thinking, find more meaning in life and it is something your friends also like","You guys should try spending more time in nature, as it has been linked to having better moods, expanded thinking, find more meaning in life and it is something your friends also like"
Be kind,Stress,Lending a helping hand scientifically increases positivity and lengthens lifespan,https://www.takingcharge.csh.umn.edu/enhance-your-wellbeing/health/thoughts-emotions/increase-positivity,T,F,"Try Being more kind, as it has been shown to boost mood and lengthen lifespan.","Try Being more kind, it is something your friends also like","Try Being more kind, as it has been shown to boost mood, and lengthen lifespan and your friends also like it","You guys should try being more kind, as it has been shown to boost mood and lengthen lifespan, and seems like something you guys would like to do"
Connect with others,Stress,"Social interaction boosts confidence and self-esteem, as well as fights stress, depression, and anxiety.",https://www.takingcharge.csh.umn.edu/enhance-your-wellbeing/health/thoughts-emotions/increase-positivity,T,F,Try connecting with others as it can boost confidence and self-esteem,"Try connecting with others, your friends also like to connect with others",Try connecting with others as it can boost confidence & self-esteem and your friends also like to connect with others,You guys should try connecting with others as it can boost confidence & self-esteem and seems like something you guys would like to do
Promote Positivity,Stress,"Thinking optimistically broadens perspectives and strengthens your mental health, even during difficult times.",https://www.takingcharge.csh.umn.edu/enhance-your-wellbeing/health/thoughts-emotions/increase-positivity,T,F,"Try being optimistic, it can broaden perspectives and strengthens your mental health","Try being optimistic, it is something your friends also like optimist thinking","Try being optimistic, it can broaden perspectives and strengthens your mental health, and your friends also like optimist thinking","You guys should try being optimistic, it can broaden perspectives and strengthens your mental health, and you guys like optimist thinking"
Physical Activity,Stress,"Physical exercise reduces risk of disease, increases lifespan, and improves mental health.",https://www.takingcharge.csh.umn.edu/physical-activity-fitness,T,F,"Try Being more physically active, it has been shown increases lifespan and improves mood","Try Being more physically active, your friends also like physical activity","Try Being more physically active, it has been shown increases lifespan and improves mood and your friends also like physical activity","You guys should try some physical activities as it has been shown increases lifespan, and improves mood and you guys would like it"
Yoga,Stress,Yoga calms the mind and improves mood.,https://www.takingcharge.csh.umn.edu/yoga,T,F,"Try yoga, it calms your mind and improved your mood","Try yoga, your friends also like it","Try yoga, it calms your mind, and improved mood and your friends also like it","You guys should try yoga, it calms your mind, improved mood and most of you like it"
Set Goals,Stress,"Setting goals induces feelings of accomplishment, pride, and happiness.",https://www.takingcharge.csh.umn.edu/set-goals-connected-purpose,T,F,Try setting goals as it induces feelings of accomplishment and happiness,"Try setting goals, your friends like to set goals",Try setting goals as it induces the feeling of accomplishment and happiness and your friends like,You guys should try setting goals as it induces the feeling of accomplishment & happiness and most of you like it
Practice Mindfulness,Stress,Mindfulness improves emotional health and wellbeing.,https://www.takingcharge.csh.umn.edu/explore-healing-practices/mindfulness,T,F,"Try being more mindful, it improves emotional health","Try being more mindful, your friends like mindfulness","Try being more mindful, it improves emotional health and your friends like it","You guys should try being more mindful, it improves emotional health, and most of you guys like it"
Declutter your space,Stress,Decluttering promotes a soothing and calm environment.,https://www.takingcharge.csh.umn.edu/activities/what-healing-environment-you ,T,F,"Try optimizing your environment it can help you, take a look at the link below to get tips on improving your environment","Take a look at the link below to get tips on improving your environment, your friends also like it","Try optimizing your environment it can help you and your friends also like it, take a look at the link below to get tips on improving your environment","You guys should try optimizing your environment it can help you and your friends also like it, take a look at the link below to get tips on improving your environment"
